ID,Upvotes
366953,129.3358
71864,365.85107
141692,66.00175
316833,10.977323
440445,361.94174
3514,9.096597
331420,6.8507185
406540,99.43412
227379,74.40098
331687,-3.000812
32784,-9.529545
470377,37.557816
338103,16.668509
29883,594.47986
218228,91.27897
70945,1093.6743
14328,-3.000812
259947,66.10627
346378,527.50653
384621,-9.529545
425418,10.977323
131224,110.32722
365408,-3.000812
218626,-5.2466927
331722,-13.401831
310969,5.9967585
307391,233.6281
14072,168.05238
238694,-9.529545
213841,-0.5319704
165258,45.65576
123606,-3.000812
214062,46.55539
279450,239.81075
178546,-130.75856
358455,13.223201
386308,-11.775422
155592,23.197239
200090,9.096597
127308,33.53572
449766,145.95306
223688,807.48083
442443,16.668509
451259,259.30426
87024,6.8507185
207529,123.734215
196568,25.443111
38258,629.0422
387275,18.914383
86152,-11.775422
302142,168.05238
401268,555.74036
307187,-11.775422
252388,25.443111
844,-9.529545
105707,37.557816
230309,328.61813
362573,148.19894
173751,74.09971
349049,9.096597
310466,-11.775422
205786,175.82622
208358,7.6594048
440214,13.223201
41343,5.9967585
427741,136.90773
355001,145.95306
137708,25.443111
146326,251.17928
220889,25.443111
205742,1701.6199
28737,15.625332
292474,-11.775422
349149,18.914383
46230,-81.18966
303160,5.068063
292638,229.13647
210116,6.8507185
55900,-9.529545
91135,6.8507185
452177,231.00769
170628,6.8507185
237099,39.803696
166022,-9.529545
175687,18.264324
392847,-9.529545
454964,-9.529545
259259,-3.000812
289148,116.1623
311134,13.223201
62551,525.0612
336258,18.914383
468049,31.64856
22189,5.9967585
264888,64.583206
451615,123.734215
85004,-3.000812
375246,37.557816
60204,18.914383
126097,-9.529545
182425,4755.4175
449937,39.803696
442637,9294.283
378184,13.223201
357584,243.99901
383054,10.977323
299871,16.668509
152764,-5.2466927
22064,-5.2466927
416791,-0.5319704
440686,118.060265
44537,-9.529545
80203,16.668509
81726,-9.529545
440068,215.55508
109276,17.287975
120567,-11.775422
169520,-94.761955
84443,6.8507185
139139,25.443111
346145,159.27777
75219,-0.5319704
244042,127.878075
6992,1.9178089
337741,-11.775422
20091,720.6254
420761,34.488335
101501,-9.529545
408598,658.34863
306979,-11.775422
50260,-5.2466927
21088,-3.000812
462951,-11.775422
196903,-11.775422
155361,154.72768
51756,9.096597
192022,-9.529545
384071,-9.529545
173305,556.32495
56449,-9.529545
172164,-11.1559515
341063,-32.93006
431990,13.223201
342757,49.882244
335181,9.096597
121613,9.096597
40216,39.803696
116940,408.59354
351719,-9.529545
436421,-9.529545
173164,33.53572
362350,6.8507185
357892,135.18788
335957,13.223201
192010,-9.529545
407412,-11.775422
19359,-11.775422
82078,204.27016
375709,1836.0328
122137,15.625332
244661,436.25485
434900,436.25485
54220,-9.529545
425162,99.43412
453118,22.22078
373873,-9.529545
238415,314.85812
53501,181.5155
67918,-9.529545
68982,-9.529545
81980,45.65576
332015,145.95306
171470,18.914383
24209,6.8507185
396455,206.22734
236372,-44.174973
29062,215.17265
248733,-11.775422
43097,-9.529545
401490,39.803696
181282,39.803696
285264,43.35351
386230,9.096597
262238,138.38113
226323,-11.775422
224589,66.00175
61,18.914383
120331,-11.775422
59519,6.8507185
263459,301.55563
188774,710.4992
157423,18.914383
204323,438.88492
94807,-9.529545
130112,-9.529545
298030,243.4459
361994,-11.775422
242867,43.40988
345301,-9.529545
404296,-9.529545
403325,-3.000812
78570,68.24763
247119,83.17559
433907,1415.0104
51709,7.8446455
256743,-9.529545
132448,45.65576
429148,-0.32807103
384840,11.133697
434864,186.5186
317954,119.72292
452061,-3.000812
85212,-9.529545
373284,148.19894
284208,371.99445
233976,99.43412
105691,1185.2797
375077,162.62917
26720,33.53572
70683,208.47322
281194,29.60347
390953,227.09937
59608,549.02026
341707,-11.1559515
403654,23.040989
209246,131.14009
295413,66.00175
379392,1328.2828
261533,13.223201
130134,15.625332
137990,119.72292
413320,182.5779
468459,68.24763
189150,-9.529545
381154,16.668509
373043,-3.000812
231677,6619.3745
438093,99.43412
443706,39.803696
230906,29.60347
138183,-9.529545
78231,17.287975
70795,25.443111
283674,13.223201
144543,-9.529545
213929,46.75823
458437,693.04266
279629,13.223201
284422,-11.775422
29532,-9.529545
409963,16.668509
325099,236.91718
409635,401.85236
18156,-0.5319704
355380,-9.529545
412081,202.36497
363354,9.096597
354537,531.5548
209720,-11.775422
150078,-48.673214
31479,58.429836
455028,41.10763
104579,327.7603
102986,159.27777
60804,-9.529545
361348,79.09173
234054,5333.706
212541,6.8507185
452107,-9.529545
227926,-9.529545
340913,485.82382
316690,81.52694
223984,-9.529545
193558,714.08997
155138,195.8502
36080,-16.708334
355444,97.18824
310281,39.803696
79606,48.80127
16325,462.28528
460657,198.78404
159813,56.183956
390567,83.17559
340325,-9.529545
85871,9.096597
360723,7220.241
200645,-11.775422
180440,191.3767
9158,76.03359
295966,623.5816
131958,98.62545
168051,127.878075
246426,145.95306
195598,1.9178089
6177,9.2858095
10574,-9.529545
181076,41.10763
170742,16.668509
123659,13.379449
333658,145.95306
293962,-3.000812
423136,125.980095
90343,184.05133
32867,-88.05305
143820,148.49646
16783,108.7118
286877,306.82358
422113,-11.775422
42145,227.09937
377322,-9.529545
232647,-9.529545
320851,39.803696
74336,556.719
121520,68.24763
46307,-9.529545
137345,39.803696
426975,9.096597
126697,-9.529545
188080,31.479065
399469,48.80127
132942,50.161987
199602,257.2031
335704,140.95793
20602,-9.529545
458202,375.56442
74016,41.66713
374627,267.02087
169941,66.00175
267769,144.90987
108489,16.668509
51782,-9.529545
160092,39.803696
152160,54.653336
162504,37.557816
286106,49.882244
331480,66.82908
451655,-3.000812
311726,16.668509
199325,39.803696
24806,-9.529545
237104,-11.775422
252830,74.40098
273090,31.64856
115172,-3.000812
28445,102.57961
153732,73.357796
40870,-9.529545
212207,127.878075
411175,6.8507185
213177,25.443111
149578,-9.529545
329243,37.557816
26565,365.09613
242893,512.26105
163630,-11.775422
11802,74.40098
434228,395.47836
277388,1123.673
116623,2538.2302
12726,76.64686
92182,-9.529545
308356,9.2858095
342196,9.096597
435921,37.557816
117479,1249.6283
20084,18.914383
110267,1207.5441
211485,-9.529545
52505,-17.68468
105490,278.7569
400015,13.223201
376091,-9.529545
169994,-9.529545
447639,130.60043
371187,6.8507185
